month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2024-12-01,A DIVISION,"1",offpeak,"5,034,590","0.9629582","0.7380453","4,848,099.5","3,715,755","643,165.4",12.774931%,87.22507%
2024-12-01,A DIVISION,"1",peak,"5,552,918","1.0202761","0.6621421","5,665,509","3,676,820.8","624,175.44",11.240494%,88.759506%
2024-12-01,A DIVISION,"2",offpeak,"3,078,700.2","1.42567","0.7267879","4,389,210.5","2,237,562.2","555,590.8",18.046278%,81.95372%
2024-12-01,A DIVISION,"2",peak,"3,672,602.5","1.1477195","0.4486904","4,215,117.5","1,647,861.6","483,096.44",13.154063%,86.845934%
2024-12-01,A DIVISION,"3",offpeak,"2,344,247.5","0.9843538","0.45658174","2,307,569","1,070,340.6","293,768.3",12.531455%,87.468547%
2024-12-01,A DIVISION,"3",peak,"2,867,204.8","0.9594973","0.42821017","2,751,075","1,227,766.2","305,835.66",10.666683%,89.333314%
2024-12-01,A DIVISION,"4",offpeak,"4,061,860.5","0.93630624","0.360165","3,803,145.2","1,462,940","541,052.4",13.320309%,86.67969%
2024-12-01,A DIVISION,"4",peak,"4,294,458","0.9324141","0.3694441","4,004,213.5","1,586,562.2","524,842.25",12.221384%,87.778616%
2024-12-01,A DIVISION,"5",offpeak,"2,769,309.5","1.2185069","0.62145257","3,374,423","1,720,994.5","398,652.22",14.395365%,85.60463%
2024-12-01,A DIVISION,"5",peak,"3,658,115.2","1.0738622","0.32557574","3,928,312","1,190,993.6","463,947.56",12.682694%,87.317306%
2024-12-01,A DIVISION,"6",offpeak,"5,352,619.5","0.9788268","0.57907265","5,239,287.5","3,099,555.8","587,825.25",10.98201%,89.01799%
2024-12-01,A DIVISION,"6",peak,"6,026,514","1.0891222","0.65205234","6,563,609.5","3,929,602.2","699,077.06",11.6000235%,88.399976%
2024-12-01,A DIVISION,"7",offpeak,"3,937,855.5","0.9241231","0.5071857","3,639,063.2","1,997,224.1","454,101",11.531682%,88.46832%
2024-12-01,A DIVISION,"7",peak,"4,489,420","0.92569864","0.47618914","4,155,849.8","2,137,813","402,728.78",8.97062%,91.02938%
2024-12-01,A DIVISION,S 42nd,offpeak,"356,117.38","0.47375047","-0.23318224","168,710.78","-83,040.25","4,913.1147",1.3796336%,98.62037%
2024-12-01,A DIVISION,S 42nd,peak,"478,859.62","0.42204693","-0.2356899","202,101.23","-112,862.375","2,376.84",0.49635423%,99.50365%
2024-12-01,B DIVISION,A,offpeak,"3,733,422.8","1.7670912","0.9320066","6,597,298.5","3,479,574.8","795,985.94",21.320541%,78.67946%
2024-12-01,B DIVISION,A,peak,"4,675,352.5","1.3334132","0.53974754","6,234,177","2,523,510","720,395.75",15.408373%,84.59163%
2024-12-01,B DIVISION,B,offpeak,"2,108,316","1.6020979","1.0702657","3,377,728.8","2,256,458.2","491,023.56",23.289846%,76.71015%
2024-12-01,B DIVISION,B,peak,"2,911,606","1.7316356","1.1212695","5,041,840","3,264,694.5","682,857.75",23.452958%,76.54704%
